title,price,img,url
Royal Gala Apples,$0.92,https://assets.shop.loblaws.ca/products/20083526001/b1/en/front/20083526001_front_a01.png,https://www.realcanadiansuperstore.ca/royal-gala-apples/p/20083526001_KG
Honeycrisp Apples,$1.85,https://assets.shop.loblaws.ca/products/20132621001/b1/en/front/20132621001_front_a01.png,https://www.realcanadiansuperstore.ca/honeycrisp-apples/p/20132621001_KG
Gala Apples 3Lb Bag,$7.99,https://assets.shop.loblaws.ca/products/20606349001/b1/en/front/20606349001_front_a01.png,https://www.realcanadiansuperstore.ca/gala-apples-3lb-bag/p/20606349001_EA
Granny Smith Apples,$1.32,https://assets.shop.loblaws.ca/products/20253488001/b1/en/front/20253488001_front_a01.png,https://www.realcanadiansuperstore.ca/granny-smith-apples/p/20253488001_KG
Pink Lady Apples,$1.38,https://assets.shop.loblaws.ca/products/20093376001/b1/en/front/20093376001_front_a01.png,https://www.realcanadiansuperstore.ca/pink-lady-apples/p/20093376001_KG
Gala Apples,$7.99,https://assets.shop.loblaws.ca/products/20767998001/b1/en/front/20767998001_front_a01.png,https://www.realcanadiansuperstore.ca/gala-apples/p/20767998001_EA
Ambrosia Apples,$1.21,https://assets.shop.loblaws.ca/products/20092614001/b1/en/front/20092614001_front_a01.png,https://www.realcanadiansuperstore.ca/ambrosia-apples/p/20092614001_KG
Red Delicious Apples,$1.15,https://assets.shop.loblaws.ca/products/20073899001/b1/en/front/20073899001_front_a01.png,https://www.realcanadiansuperstore.ca/red-delicious-apples/p/20073899001_KG
McIntosh Apples,$7.99,https://assets.shop.loblaws.ca/products/20713211001/b1/en/front/20713211001_front_a01.png,https://www.realcanadiansuperstore.ca/mcintosh-apples/p/20713211001_EA
Apple Cosmic Crisp,$1.85,https://assets.shop.loblaws.ca/products/21240884001/b1/en/front/21240884001_front_a01.png,https://www.realcanadiansuperstore.ca/apple-cosmic-crisp/p/21240884001_KG
Fuji Apples,$1.32,https://assets.shop.loblaws.ca/products/20310940001/b1/en/front/20310940001_front_a01.png,https://www.realcanadiansuperstore.ca/fuji-apples/p/20310940001_KG
Imperfect Apples,$7.00,https://assets.shop.loblaws.ca/products/20868985001/b1/en/front/20868985001_front_a01.png,https://www.realcanadiansuperstore.ca/imperfect-apples/p/20868985001_EA
Granny Smith Apples 3Lb Bag,$9.00,https://assets.shop.loblaws.ca/products/20725795001/b1/en/front/20725795001_front_a01.png,https://www.realcanadiansuperstore.ca/granny-smith-apples-3lb-bag/p/20725795001_EA
McIntosh Apples,$1.10,https://assets.shop.loblaws.ca/products/20039956001/b1/en/front/20039956001_front_a01.png,https://www.realcanadiansuperstore.ca/mcintosh-apples/p/20039956001_KG
Honeycrisp Apples,$9.00,https://assets.shop.loblaws.ca/products/20723960001/b1/en/front/20723960001_front_a01.png,https://www.realcanadiansuperstore.ca/honeycrisp-apples/p/20723960001_EA
Gala Apples,$1.45,https://assets.shop.loblaws.ca/products/20100756001/b1/en/front/20100756001_front_a01.png,https://www.realcanadiansuperstore.ca/gala-apples/p/20100756001_KG
